names,atom_pos,atoms,water_counts
513,"[2.0169 2.0277 9.5576 2.0955 2.0415 9.6178 1.9444 1.9804 9.6076 2.0408
 2.0189 9.2938 2.0319 2.0314 9.3927 2.1375 2.0104 9.27  ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1021,"[1.9936 1.8631 9.6008 1.9391 1.8953 9.6782 1.9521 1.7804 9.5629 2.0605
 1.9501 9.3433 2.1026 1.8666 9.3077 2.0374 1.9372 9.4397]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1258,"[2.0233 1.8682 9.6654 2.0198 1.8653 9.5655 2.1041 1.9195 9.6944 2.0488
 1.8969 9.3867 2.0439 1.7973 9.3787 2.0513 1.9376 9.2954]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1702,"[2.0659 1.998  9.6677 2.1592 2.0246 9.6918 2.0562 1.997  9.5682 2.0655
 1.9665 9.4072 1.987  1.9671 9.3452 2.1413 1.9172 9.3645]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
977,"[1.9595 1.9636 9.6727 1.8659 1.9435 9.7015 1.9618 1.9766 9.5736 1.9852
 1.9674 9.4148 2.045  2.0364 9.374  1.9168 1.9387 9.3478]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1403,"[2.0055 1.9516 9.5621 2.0698 1.9143 9.6289 1.9312 1.8864 9.5473 2.0131
 2.0425 9.2985 1.9375 2.007  9.2435 2.0128 1.9983 9.3882]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
881,"[2.0191 2.1072 9.3659 2.0185 2.1021 9.4657 2.016  2.0148 9.3277 2.0304
 2.0363 9.6348 1.9479 1.9962 9.6747 2.1112 1.9929 9.6747]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1732,"[1.9768 2.0208 9.3368 1.9796 2.009  9.4361 1.9914 1.9324 9.2923 1.9837
 1.9959 9.6007 2.0422 1.9329 9.6518 1.9734 2.081  9.6522]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1509,"[2.1404 1.951  9.6529 2.1376 2.0496 9.6691 2.1182 1.9322 9.5572 2.0768
 1.9647 9.3958 2.04   2.0508 9.3609 2.044  1.889  9.3392]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1419,"[2.1522 1.881  9.294  2.151  1.794  9.2447 2.062  1.9238 9.2884 2.0444
 1.9003 9.598  1.9751 1.8721 9.5316 2.1141 1.9553 9.5521]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
